ID,Name,Year Published,Bayesian Average,Mechanic,Category
102,Klunker,1999,5.71566,Set Collection,Card Game
103,Titan,1980,6.38682,Dice Rolling,Fantasy
104,Extrablatt,1991,5.67079,Area Majority / Influence,Territory Building
105,Colossal Arena,1997,6.46604,Betting and Bluffing,Card Game
106,Mystery Rummy: Jack the Ripper,1998,6.38215,Hand Management,Card Game
107,Peaceful Resistance,1995,0,Grid Movement,Abstract Strategy
108,TAMSK,1998,5.99758,Action Timer,Abstract Strategy
109,Wettstreit der Baumeister,1994,5.59048,Auction/Bidding,City Building
110,Auf Achse,1987,5.83551,Auction/Bidding,Economic
111,Rheinländer,1999,6.00332,Area Majority / Influence,Abstract Strategy
112,Condottiere,1995,6.61586,Area Majority / Influence,Bluffing
113,"Plotters, Inc.",1999,5.67319,Trick-taking,Card Game
114,Ransom,1994,5.5265,Auction/Bidding,Abstract Strategy
115,I'm the Boss!,1994,6.30622,Dice Rolling,Economic
116,Guillotine,1998,6.39279,Hand Management,Age of Reason
117,Ta Yü,1999,6.1005,Connections,Abstract Strategy
118,Modern Art,1992,7.31506,Auction: English,Card Game
119,Kingdoms,1994,6.31144,Tile Placement,Abstract Strategy
120,Hoity Toity,1990,6.21184,Rock-Paper-Scissors,Bluffing
121,Dune,1979,6.98479,Alliances,Bluffing
122,Quo Vadis?,1992,6.01084,Negotiation,Ancient
123,Green Thumb Cards,1996,0,Set Collection,Card Game
124,Primordial Soup,1997,6.47489,Bias,Prehistoric
125,Money!,1999,6.09777,Auction/Bidding,Card Game
126,The Really Nasty Horse Racing Game,1989,5.69171,Betting and Bluffing,Animals
127,Princess Ryan's Star Marines,1997,5.4858,Cooperative Game,Deduction
128,Take it Easy!,1983,6.14813,Bingo,Abstract Strategy
129,Not available,Not available,Not available,Not available,Not available
130,Iron Dragon,1994,6.11869,Crayon Rail System,Fantasy
131,Not available,Not available,Not available,Not available,Not available
132,Caesar & Cleopatra,1997,6.08819,Area Majority / Influence,Ancient
133,Frischfleisch,1999,5.54382,Modular Board,Exploration
134,Cape Horn,1999,5.60031,Tile Placement,Nautical
135,Kontor,1999,5.61797,Area Majority / Influence,City Building
136,Robin Hood,1999,5.49614,Not available,Card Game
137,Pass the Bomb,1994,5.61636,Dice Rolling,Electronic
138,Not available,Not available,Not available,Not available,Not available
139,Hoax,1981,5.53698,Deduction,Bluffing
140,Pit,1903,6.19135,Commodity Speculation,Card Game
141,Andromeda,1999,5.82771,Area Majority / Influence,Science Fiction
142,Vino,1999,5.73208,Area Majority / Influence,Economic
143,Wortelboer,1999,0,Take That,Animals
144,Elfenwizards,1995,5.52921,Dice Rolling,Negotiation
145,Metropolis,1984,5.63005,Not available,City Building
146,Buy Low Sell High,1996,5.68309,Commodity Speculation,Economic
147,Crude: The Oil Game,1974,5.91592,Commodity Speculation,Economic
148,Die Glücksritter,1999,5.51178,Rock-Paper-Scissors,Bluffing
149,Not available,Not available,Not available,Not available,Not available
150,PitchCar,1995,6.97502,Flicking,Action / Dexterity
151,Piratenbillard,1989,5.68239,Not available,Action / Dexterity
152,Mü & More,1995,6.29567,Bids As Wagers,Card Game
153,Take 5!,1998,6.05746,Hand Management,Card Game
154,Union vs. Central,1999,5.56395,Hand Management,American West
155,Was sticht?,1993,5.86115,Open Drafting,Card Game
156,Wildlife Adventure,1985,5.78591,Network and Route Building,Animals
157,Eurorails,1990,6.19781,Connections,Economic
158,Elfengold,1999,5.84467,Auction/Bidding,Expansion for Base-game
159,Not available,Not available,Not available,Not available,Not available
160,Not available,Not available,Not available,Not available,Not available
161,Not available,Not available,Not available,Not available,Not available
162,The Awful Green Things From Outer Space,1979,6.03622,Area Movement,Science Fiction
163,Balderdash,1984,6.17333,Paper-and-Pencil,Bluffing
164,"Before I Kill You, Mister Spy...",1996,5.4627,Push Your Luck,Card Game
165,Black Box,1977,5.76139,Line Drawing,Abstract Strategy
166,Black Death,1993,5.50582,Action Points,Medical
