ID,Name,Year Published,Bayesian Average,Mechanic,Category
1383,Pool Party,1999,5.63531,Memory,Party Game
1384,Abenteuer im Wichtelwald,2000,0,Not available,Mythology
1385,Aber Hallo!,2000,5.51441,Trick-taking,Card Game
1386,Alarm,1992,0,Push Your Luck,Card Game
1387,Alaska,1979,5.55443,Pick-up and Deliver,Transportation
1389,Alles oder Nichts,1988,0,Trick-taking,Card Game
1390,Auf Kurs,1987,5.52811,Action Points,Abstract Strategy
1392,Banking,1999,0,Dice Rolling,Economic
1394,Not available,Not available,Not available,Not available,Not available
1396,Ben Hur,1987,5.53752,Resource to Move,Ancient
1398,Chicago,1986,5.4923,Area Majority / Influence,Fighting
1399,Not available,Not available,Not available,Not available,Not available
1401,Crash!,1992,5.52579,Not available,Abstract Strategy
1402,Neolithibum,1991,5.52716,Simultaneous Action Selection,Action / Dexterity
1403,Turn the Tide,1997,6.38746,Hand Management,Card Game
1404,Strand-Cup,2000,5.55155,Team-Based Game,Card Game
1405,Adventurer: A Game of Man to Man Brawling in the Far Future,1980,5.52622,Action Queue,Science Fiction
1406,Monopoly,1935,4.28784,Auction: English,Economic
1408,Gammarauders,1987,5.53585,Area Movement,Science Fiction
1409,Spawn: The Game,1995,5.48332,Action Points,Comic Book / Strip
1411,"Fugger, Welser, Medici",1994,5.52998,Auction/Bidding,Economic
1412,Trendy,2000,5.69774,Set Collection,Card Game
1414,Decathlon,1972,5.49573,Dice Rolling,Dice
1415,Rat Splatter,2001,5.4686,Not available,Action / Dexterity
1417,Alibi,1993,5.4833,Set Collection,Card Game
1418,Not available,Not available,Not available,Not available,Not available
1420,Monopoly Express,1991,5.54916,Dice Rolling,Dice
1421,Lost Worlds,1983,5.67904,Rock-Paper-Scissors,Book
1422,Wadjet,1996,5.32596,Hand Management,Adventure
1423,Storm over Arnhem,1981,5.99244,Advantage Token,Wargame
1424,Book of Lists Game,1979,5.46103,Betting and Bluffing,Party Game
1425,Raid on St. Nazaire,1987,5.97254,Area Movement,Wargame
1426,Lord of the Rings: The Search,2001,5.33499,Modular Board,Adventure
1427,GRO: Battle for the Petri Dish,1999,5.50073,Not available,Abstract Strategy
1429,Not available,Not available,Not available,Not available,Not available
1430,Caesar: Epic Battle of Alesia,1976,5.85615,Area Movement,Ancient
1432,Breakout!,1975,0,Modular Board,Maze
1433,Der grosse Gallier,2001,5.49957,Auction/Bidding,Bluffing
1434,Dealer's Choice,1972,5.53314,Auction/Bidding,Economic
1436,Billionaire,1973,5.45008,Auction/Bidding,Economic
1437,Trust Me,1981,5.47566,Betting and Bluffing,Bluffing
1438,Scre-e-ech!,1989,0,Modular Board,Abstract Strategy
1440,Dinoquest,1989,0,Cooperative Game,Puzzle
1441,Turtles,1982,0,Pick-up and Deliver,Maze
1442,Victory in the Pacific,1977,6.13397,Area Majority / Influence,Nautical
1444,SPQR,1992,5.85351,Dice Rolling,Ancient
1445,Canasta Caliente,2000,5.71911,Set Collection,Card Game
1446,Cheater,1995,5.37866,Set Collection,Card Game
1447,1841: Railways in Northern Italy,1994,5.83719,Network and Route Building,Economic
1449,Kings Cribbage,1997,5.63053,Hand Management,Abstract Strategy
1451,Dimenticato,1998,5.5066,Modular Board,Memory
1452,Mhing,1982,5.78993,Set Collection,Card Game
1454,RYB,2000,0,Trading,Abstract Strategy
1455,Rocketball,2001,0,Area-Impulse,Maze
1456,"Run, Hamster, Run!",2000,0,Action Points,Adventure
1457,Not available,Not available,Not available,Not available,Not available
1459,Sharp Shooters,1994,5.84498,Dice Rolling,Dice
1460,Earthquake,1998,5.51553,Not available,Card Game
1462,Crazy Rummy,1998,0,Set Collection,Card Game
1463,Girl Genius: The Works,2001,5.61908,Modular Board,Card Game
1464,Duo,1986,5.48026,Not available,Card Game
1466,Rebel Rails,2001,0,Pick-up and Deliver,American Civil War
1467,Abduction,1998,5.46034,Modular Board,Adventure
1468,Anybody's Guess,1990,5.51483,Not available,Party Game
1469,Not available,Not available,Not available,Not available,Not available
1471,Gangsters,1992,5.59113,Action Points,Fighting
1472,Five Crowns,1996,5.81192,Hand Management,Card Game
1473,Barbarians: 70 BC - 260 AD,1994,5.49558,Dice Rolling,Ancient
1474,Ohio,1998,5.53515,Trick-taking,Card Game
1475,Careers,1955,5.65138,Dice Rolling,Economic
1477,Days of Decision II,1994,5.54554,Area-Impulse,Political
1479,Towers of Wyoming,2000,0,Set Collection,Abstract Strategy
1480,Imperator,1992,5.49588,Area Movement,Ancient
1482,Ubi,1986,5.47097,Not available,Trivia
1483,Not available,Not available,Not available,Not available,Not available
1485,Domingo,1982,0,Tile Placement,Abstract Strategy
1486,Plunder,1997,0,Pick-up and Deliver,Not available
1487,"Another Day, Another Dollar: Horror",2000,5.54976,Acting,Dice
1488,Trailer Park Gods,1998,5.48224,Hand Management,Card Game
1489,Deadwood Studios USA,1999,5.59105,Area Movement,American West
1490,The Cigar Game,1998,0,Set Collection,Card Game
1491,Outpost,1991,5.97529,Auction/Bidding,Economic
1492,Manic Minelayers,2000,0,Not available,Abstract Strategy
1493,1853,1989,5.75011,Network and Route Building,Economic
1494,Bohnanza Erweiterungs-Set (Revised Edition),2001,6.11414,Hand Management,Card Game
1495,Stash,1992,0,Pick-up and Deliver,Economic
1496,Imperium Romanum II,1985,5.73321,Dice Rolling,Ancient
1497,Dino Hunt,1996,5.47506,Action Points,Card Game
1498,Paydirt,1970,5.74753,Dice Rolling,Dice
1499,World in Flames,1985,6.25773,Area Movement,Nautical
1501,Masterpiece,1970,5.56459,Auction/Bidding,Bluffing
1502,Hotel,1974,5.44003,Auction/Bidding,Economic
1503,Mid-East Peace,1990,5.47708,Area-Impulse,Modern Warfare
1504,Bakschisch,1995,5.51729,Auction/Bidding,Adventure
1505,Not available,Not available,Not available,Not available,Not available
1507,Isis,1992,0,Not available,Abstract Strategy
1508,Broadside,1962,5.59133,Grid Movement,Miniatures
1509,Dogfight,1962,5.64052,Card Play Conflict Resolution,Aviation / Flight
1511,Outdoor Survival,1972,5.26379,Dice Rolling,Adventure
1512,Hexagony,1977,5.50324,Dice Rolling,Abstract Strategy
1514,Yali,1996,5.4723,Point to Point Movement,Abstract Strategy
1515,Upwords,1982,5.61775,Hand Management,Word Game
1516,USAC Auto Racing,1979,5.53183,Dice Rolling,Racing
1517,Ani-Mayhem,1996,5.47901,Modular Board,Card Game
1518,Executive Decision,1971,5.58835,Auction/Bidding,Economic
1519,Kult,1995,5.62268,Variable Player Powers,Card Game
1520,Monad,1969,5.62372,Ladder Climbing,Card Game
1521,Supremacy: Warlords and Pirates of the Neutral Zones,1987,5.54305,Not available,Economic
1522,Get Out,1998,5.49966,Not available,Economic
1523,Pharao,1984,0,Roll / Spin and Move,Abstract Strategy
1524,Fight City,1999,5.48987,Hand Management,Card Game
1525,Dixie: Bull Run,1994,5.6204,Area Majority / Influence,American Civil War
1526,PitchCar: Extension 1,1997,6.48047,Modular Board,Action / Dexterity
1527,Bitin' Off Hedz,1996,5.32431,Roll / Spin and Move,Prehistoric
1528,Chief Herman's Holiday Fun Pack,2000,5.51628,Not available,Card Game
1529,Ramses,1988,0,Area Movement,Abstract Strategy
1530,Dark Age: Feudal Lords,1996,5.53844,Not available,Card Game
1531,Ritter ohne Furcht und Tadel,1998,5.45904,Betting and Bluffing,Dice
1532,Supremacy: Resource Deck Two,1987,5.55339,Not available,Expansion for Base-game
1533,Ghost Chase,2001,5.62308,Hidden Movement,Children's Game
1534,Jump!,1998,5.48692,Simultaneous Action Selection,Aviation / Flight
1535,Formula 1,1962,5.74782,Area Movement,Racing
1536,Lord of the Fries,1998,5.68637,Auction/Bidding,Card Game
1537,C&O/B&O,1969,5.50031,Pick-up and Deliver,Trains
1538,Het 1845 Spel,1965,0,Commodity Speculation,Children's Game
1539,Amro-Dam,1977,0,Not available,Abstract Strategy
1540,BattleTech,1985,6.43596,Dice Rolling,Collectible Components
1541,Block Mania: Mega-Mania,1987,5.62652,Action Points,Comic Book / Strip
1542,Calamity!,1983,5.49111,Trading,Economic
1543,Dragon Quest,1992,5.55658,Campaign / Battle Card Driven,Adventure
1544,Beyond Balderdash,1993,6.27463,Paper-and-Pencil,Bluffing
1545,Flowerpower,2001,5.77286,Area Majority / Influence,Abstract Strategy
1546,Worlds of Heroes & Tyrants,2001,5.463,Variable Player Powers,Adventure
1547,Janus,1975,5.53728,Modular Board,Abstract Strategy
1548,Libero,1984,0,Not available,Abstract Strategy
1549,Password,1962,5.68495,Team-Based Game,Movies / TV / Radio theme
1550,Chebache,1997,5.50535,Not available,Abstract Strategy
1551,Sub Search,1973,5.55185,Secret Unit Deployment,Children's Game
1552,Illuminati: New World Order,1994,5.80617,Action Points,Card Game
1553,Judge 'n' Jury,1995,0,Team-Based Game,Party Game
1554,Total Attack!! Soccer,1993,0,Not available,Sports
1555,Dungeon Dice,1977,5.56259,Dice Rolling,Dice
1556,Tenjo,2001,5.45484,Dice Rolling,Medieval
1557,Space Empires,1981,5.51599,Dice Rolling,Economic
1558,Rogue Trooper,1987,5.56972,Dice Rolling,Adventure
1559,Wabbit's Wevenge,1986,5.50102,Action Points,Comic Book / Strip
1560,Hero: A Game of Adventure in the Catacombs,1980,5.5048,Dice Rolling,Adventure
1561,Clue Master Detective,1988,5.93635,Deduction,Deduction
1562,Not available,Not available,Not available,Not available,Not available
1563,Rise and Decline of the Third Reich,1974,6.12635,Dice Rolling,Negotiation
1564,Avanté,1967,0,Set Collection,Abstract Strategy
1566,Simply Cosmic,1995,5.60207,Variable Player Powers,Negotiation
1567,Stockers!,1995,5.50217,Betting and Bluffing,Card Game
1568,Space Crusade,1990,6.33107,Chit-Pull System,Miniatures
1570,Sirocco,1985,5.52287,Campaign / Battle Card Driven,Wargame
1571,Sanctuary: Thieves World,1982,5.51455,Dice Rolling,Adventure
1572,Situation 4,1968,5.57189,Area Majority / Influence,Puzzle
1573,Banzai,1984,6.02517,Campaign / Battle Card Driven,Card Game
1574,Tactics II,1958,5.46447,Dice Rolling,Modern Warfare
1575,Gettysburg,1977,5.55659,Dice Rolling,American Civil War
1576,Gettysburg (125th Anniversary Edition),1988,5.72307,Dice Rolling,American Civil War
1577,Source of the Nile,1978,5.72564,Dice Rolling,Exploration
1579,Wrasslin',1990,5.56695,Hand Management,Card Game
1581,London Cabbie Game,1971,5.50829,Pick-up and Deliver,Transportation
1582,Sicily: Triumph and Folly,2000,5.65973,Dice Rolling,Wargame
1583,"Barbarossa: Army Group Center, 1941",1998,5.71218,Hexagon Grid,Wargame
1584,Not available,Not available,Not available,Not available,Not available
1586,The Hobbit Adventure Boardgame,1994,5.54192,Roll / Spin and Move,Adventure
1587,Not available,Not available,Not available,Not available,Not available
1589,Star Fleet Battles,1979,5.97911,Dice Rolling,Movies / TV / Radio theme
1591,Ploy,1970,5.60702,Grid Movement,Abstract Strategy
1593,Down with the King,1981,5.53228,Dice Rolling,Card Game
1595,Tension,1970,0,Roll / Spin and Move,Action / Dexterity
1596,Nevo,1979,0,Point to Point Movement,Abstract Strategy
1598,Olympica,1978,5.54385,Dice Rolling,Science Fiction
1599,StarGate: The Final Space Battle for Galactic Freedom,1979,5.51194,Hexagon Grid,Science Fiction
1600,Russian Roulette,1986,0,Betting and Bluffing,Dice
1601,Ivy Towers,1981,0,Roll / Spin and Move,Racing
1602,The Royal Game of Ur,-2600,5.65137,Race,Abstract Strategy
1604,The Mad Magazine Game,1979,5.24337,Acting,Comic Book / Strip
1605,Ambush!: Purple Heart,1985,5.87742,Action Points,Expansion for Base-game
1606,Ambush!: Move Out!,1984,5.9238,Action Points,Expansion for Base-game
1608,Ambush!,1983,6.50907,Action Points,Wargame
1609,Creature Features,1975,0,Auction/Bidding,Economic
1611,Bullwinkle and Rocky Role Playing Party Game,1988,5.50401,Role Playing,Adventure
1612,Ambush!: Silver Star,1987,5.77478,Action Points,Expansion for Base-game
1613,Ghost Castle,1970,5.43911,Area Movement,Action / Dexterity
1614,Not available,Not available,Not available,Not available,Not available
1616,Remember the Alamo!,1982,5.51201,Dice Rolling,American West
1618,French Foreign Legion,1982,5.56078,Chit-Pull System,Post-Napoleonic
1619,The Roaring 20's,1981,5.50151,Dice Rolling,Economic
1620,Decline and Fall of the Roman Empire,1972,5.54603,Hexagon Grid,Ancient
1621,Mutant Chronicles: Siege of the Citadel,1993,5.95424,Action Points,Science Fiction
1622,Strata 5,1984,5.51361,Network and Route Building,Abstract Strategy
1623,Space Station Zemo,1998,5.52515,Campaign / Battle Card Driven,Print & Play
1625,Pokémon Jr. Adventure Game: Pokémon Emergency!,2000,5.48364,Role Playing,Adventure
1627,XXXenophile,1996,5.52614,Betting and Bluffing,Bluffing
1629,Air War: Modern Tactical Air Combat,1977,5.4687,Dice Rolling,Aviation / Flight
1630,Galileo,2001,0,Betting and Bluffing,Memory
1631,Barbarian Prince,1981,5.69721,Dice Rolling,Adventure
1632,Shapeshifters,1991,5.52093,Hexagon Grid,Bluffing
1633,Spies!,1981,5.621,Action Points,Negotiation
1634,Warhammer Quest,1995,6.47577,Cooperative Game,Adventure
1635,Demonlord,1981,5.54884,Dice Rolling,Fantasy
1637,Situation 7,1969,5.51848,Area Majority / Influence,Puzzle
1639,Archie Bunker's Card Game,1972,5.4978,Trick-taking,Card Game
1640,Blockbusters,1982,5.49942,Connections,Movies / TV / Radio theme
1641,Bounty,2000,5.49098,Pick-up and Deliver,Adventure
1642,Not available,Not available,Not available,Not available,Not available
1644,Tipp-Kick,1921,5.68616,Not available,Action / Dexterity
1645,War of 1812,1973,5.86749,Dice Rolling,American Indian Wars
1646,Maul of America: Chopping Maul,1999,0,Modular Board,Expansion for Base-game
1648,Kan-U-Go,1934,5.4786,Spelling,Card Game
1649,Colonisator: The Twelve Planets' War,1979,5.51778,Dice Rolling,Science Fiction
1650,The Lord of the Rings Adventure Game,1978,5.51792,Dice Rolling,Adventure
1651,Vertigo,1990,5.53822,Action Points,Economic
1652,Escape from the Casbah,1975,0,Dice Rolling,Arabian
1654,Double Crossing,1988,5.49719,Pick-up and Deliver,Economic
1655,Drinkers Wild,1978,0,Not available,Humor
1656,Smokers Wild,1978,5.47607,Roll / Spin and Move,Humor
1657,Space Pigs,1999,5.4948,Auction/Bidding,Economic
1658,Police State,1976,0,Roll / Spin and Move,Humor
1659,Beat Detroit,1972,0,Dice Rolling,Economic
1660,The Cattlemen,1977,5.46661,Action Points,American West
1661,Balance of Power,1979,5.50537,Dice Rolling,Abstract Strategy
1662,"Napoléon: The Waterloo Campaign, 1815",1974,6.2121,Dice Rolling,Napoleonic
1664,Heisse Öfen,1999,0,Dice Rolling,Children's Game
1665,Airport,1972,5.50795,Roll / Spin and Move,Aviation / Flight
1666,Battle Hymn,1986,5.84195,Dice Rolling,Wargame
1667,Battle Hymn: Leatherneck,1988,5.66799,Dice Rolling,Expansion for Base-game
1669,Mosby's Raiders: Guerilla Warfare in the Civil War,1985,5.70907,Campaign / Battle Card Driven,American Civil War
1670,Modern Naval Battles II: The Campaign Game,1990,5.58131,Action Points,Card Game
1671,Modern Naval Battles III,1990,5.57688,Action Points,Card Game
1672,Open Fire: Solitaire Tank Combat in WWII,1988,5.49865,Dice Rolling,Adventure
1673,Ultimate Golf,1985,5.46836,Not available,Sports
1674,Naval War,1979,5.67593,Dice Rolling,Card Game
1675,Illuminati: Brainwash,2001,5.51558,Variable Player Powers,Card Game
1677,Knightmare Chess 2,1998,5.77728,Grid Movement,Abstract Strategy
1678,"The Peloponnesian War, 431-404 BC",1991,5.72644,Dice Rolling,Ancient
1679,Carrier: The Southwest Pacific Campaign – 1942-1943,1990,5.80608,Dice Rolling,Aviation / Flight
1681,Tokyo Express: The Guadalcanal Naval Campaign – 1942,1988,5.7488,Dice Rolling,Nautical
1682,The Challenge,1990,5.50385,Hand Management,Card Game
1683,Hot Property!,1985,0,Action Points,Movies / TV / Radio theme
1684,Intern,1979,5.46635,Roll / Spin and Move,Medical
1685,Kremlin: Revolution,1989,5.61035,Not available,Expansion for Base-game
1686,Spy vs Spy,1986,5.50234,Pick-up and Deliver,Comic Book / Strip
1687,Red Empire,1990,5.53293,Open Drafting,Card Game
1688,Star Commander,1983,5.51436,Take That,Card Game
1689,War of the Networks,1979,0,Auction/Bidding,Economic
1690,Unexploded Cow,2001,5.73607,Dice Rolling,Animals
1691,Whodunit,1972,5.52128,Not available,Deduction
1692,Spoons,1972,5.40433,Player Elimination,Action / Dexterity
1694,Little Round Top: The South's Best Chance at Gettysburg,1979,5.57735,Action Points,American Civil War
1696,Not available,Not available,Not available,Not available,Not available
1698,X-Men: Under Siege,1994,5.53337,Dice Rolling,Comic Book / Strip
1699,Star Smuggler,1982,5.54194,Dice Rolling,Adventure
1700,Outpost Gamma,1981,5.51241,Dice Rolling,Print & Play
1702,Klondike,1993,5.63043,Betting and Bluffing,Action / Dexterity
1703,Kula Kula,1991,5.48545,Memory,Nautical
1705,Slapshot,1982,5.7586,"Deck, Bag, and Pool Building",Card Game
1706,UFO: Game of Close Encounters,1976,5.46497,Area Movement,Science Fiction
1707,Spices of the World,1988,5.47491,Dice Rolling,Economic
1708,Stellar Conquest,1975,5.69876,Dice Rolling,Economic
1710,The Siege of Jerusalem (Third Edition),1989,5.83682,Dice Rolling,Ancient
1711,Richthofen's War: The Air War 1916-1918,1972,5.65216,Hexagon Grid,Aviation / Flight
1713,Maharaja,1994,5.61473,Area Majority / Influence,Ancient
1714,Moonstar,1981,5.48485,Auction/Bidding,Abstract Strategy
1715,Od,1985,5.495,Betting and Bluffing,Card Game
1716,Knights of the Air,1987,5.5419,Action Points,Aviation / Flight
1717,"Freedom in the Galaxy: The Star Rebellions, 5764 AD",1979,5.78533,Action/Event,Movies / TV / Radio theme
1719,Dark Emperor,1985,5.51575,Action Points,Fantasy
1720,Dragon Pass,1980,5.73427,Dice Rolling,Fantasy
1722,Caesar's Legions,1975,5.57964,Dice Rolling,Ancient
1723,Alpha Omega,1977,5.48799,Action Points,Science Fiction
1725,A Nightmare on Elm Street: The Game,1987,5.46906,Hand Management,Horror
1727,Summit,1961,5.51181,Action Points,Economic
1729,Wide World,1956,5.50448,Bias,Aviation / Flight
1730,Trap the Cap,1927,5.4103,Roll / Spin and Move,Children's Game
1731,Tintin,1987,5.46255,Not available,Comic Book / Strip
1732,Bei Nacht und Nebel,1990,5.48043,Not available,Exploration
1734,Epicus,2001,0,Cooperative Game,Fantasy
1736,Talisman: The Adventure,1986,5.88994,Dice Rolling,Adventure
1737,Talisman: Expansion Set,1986,5.92921,Dice Rolling,Expansion for Base-game
1739,Talisman Dragons,1993,5.66065,Dice Rolling,Adventure
1740,Talisman City,1989,5.7777,Dice Rolling,Adventure
1741,The Talisman Dungeon,1987,5.85172,Dice Rolling,Adventure
1742,Not available,Not available,Not available,Not available,Not available
1744,Monster Mash,1987,5.54157,Pattern Recognition,Action / Dexterity
1746,Dungeonquest: Catacombs,1988,5.70095,Modular Board,Adventure
1747,Eyewitness Newsreel Challenge: A VCR Game,1985,0,Not available,Movies / TV / Radio theme
1748,A Question of Scruples,1984,5.27449,Voting,Bluffing
1749,Alien Hotshots,1998,5.44878,Trick-taking,Card Game
1751,Jumanji,1995,5.02107,Roll / Spin and Move,Adventure
1752,Haps,2000,5.4888,Secret Unit Deployment,Card Game
1753,Im Märchenwald,2000,5.51949,Cooperative Game,Children's Game
1754,Kiek,1999,0,Not available,Not available
1755,Fette Kühe,1995,0,Not available,Farming
1756,Gossip,1998,0,Not available,Not available
1757,Yacht Race,1960,5.57639,Action Points,Nautical
1758,Advanced Heroquest,1989,5.94442,Cooperative Game,Adventure
1760,Fury of the Clansmen,1994,5.53894,Cooperative Game,Exploration
1761,HeroQuest: Return of the Witch Lord,1991,6.23362,Roll / Spin and Move,Expansion for Base-game
1762,HeroQuest: Kellar's Keep,1991,6.23666,Roll / Spin and Move,Expansion for Base-game
1763,HeroQuest: Barbarian Quest Pack,1992,5.72672,Cooperative Game,Expansion for Base-game
1764,HeroQuest: Elf Quest Pack,1992,5.67615,Cooperative Game,Expansion for Base-game
1765,HeroQuest: Against the Ogre Horde,1990,5.85517,Cooperative Game,Expansion for Base-game
1766,Not available,Not available,Not available,Not available,Not available
1768,Fireball Island,1986,5.84281,Hand Management,Action / Dexterity
1769,HeroQuest: Adventure Design Kit,1990,5.82384,Not available,Not available
1770,Aliens,1989,5.92325,Cooperative Game,Fighting
1772,Asteroid,1980,5.57087,Dice Rolling,Adventure
1773,Dawn of the Dead,1978,5.54782,Dice Rolling,Horror
1774,Sale of the Century,1969,5.49868,Commodity Speculation,Movies / TV / Radio theme
1775,Password Plus,1978,5.52273,Not available,Deduction
1777,Dark World: Village of Fear,1993,5.51008,Role Playing,Adventure
1779,Berserker,1982,5.46651,Dice Rolling,Novel-based
1780,Knights of Camelot,1980,5.56274,Alliances,Adventure
1781,The Warlord Game,1977,5.5354,Hexagon Grid,Medieval
1782,Ancients,1986,5.60164,Dice Rolling,Ancient
1783,The Creature That Ate Sheboygan,1979,5.69155,Area Movement,Movies / TV / Radio theme
1784,Dark Cults,1983,5.58323,Storytelling,Card Game
1785,King's Bounty,1991,5.50118,Action Points,Fantasy
1786,Og,1994,0,Hexagon Grid,Fighting
1787,Pentacle,1990,0,Not available,Card Game
1788,Phart!  The Dispersing,1995,0,Action Queue,Card Game
1789,Raiders and Traders: The Heroic Age of Greece,1979,5.51868,Area Movement,Ancient
1790,Rollout: The Game of the Risk-Takers,1987,5.50358,Commodity Speculation,Economic
1791,Space Race,1991,0,Action Points,Civilization
1792,Star Viking,1981,5.54073,Tile Placement,Economic
1793,VI Against Rome,1994,5.51495,Dice Rolling,Ancient
1794,Risk: Édition Napoléon,1999,5.60549,Area Majority / Influence,Napoleonic
1796,Pampas Railroads,2001,5.66333,Auction/Bidding,Economic
1797,Pay Day,1974,5.07471,Auction/Bidding,Dice
1799,Warlord: Saga of the Storm,2001,5.68795,Not available,Card Game
1800,Mythos,1996,5.79799,Deck Construction,Adventure
1801,Clean Sweep,2001,0,Not available,Not available
1802,Zwickern,1999,5.48922,Hand Management,Card Game
1803,Zopp,1997,5.62484,Not available,Action / Dexterity
1805,Not available,Not available,Not available,Not available,Not available
1807,Shrimpin',2003,0,Not available,Card Game
1808,Witch Hunt,2000,0,Not available,Card Game
1809,Rally!,2001,0,Push Your Luck,Racing
1810,Not available,Not available,Not available,Not available,Not available
1812,Night of the Ill-Tempered Squirrel,2000,5.49392,Not available,Bluffing
1813,Chalet,1976,0,Not available,Abstract Strategy
1814,Dilbert: Corporate Shuffle,1997,5.60226,Ladder Climbing,Card Game
1816,Mississippi,1987,5.52886,Dice Rolling,Abstract Strategy
1817,Devil Bunny Hates the Earth,2001,5.40814,Dice Rolling,Abstract Strategy
1818,Icehouse: Black Ice,2000,6.11903,Not available,Not available
1820,Z-G,2001,5.52097,Action Points,Collectible Components
1821,Grant Takes Command,2001,5.78102,Dice Rolling,American Civil War
1822,Wilderness War,2001,6.51275,Action/Event,Age of Reason
1824,Trump: The Game,1989,5.21383,Auction/Bidding,Economic
1826,Whatzit?,1987,5.45632,Memory,Card Game
1828,Doomsday Cult 2000,1998,0,Not available,Card Game
1830,Nippon Rails,1992,5.80753,Crayon Rail System,Economic
1832,Spree!,1997,5.52599,Roll / Spin and Move,Not available
1833,The Willow Game,1988,5.5182,Not available,Adventure
1834,Chill Out!,1996,0,Not available,Not available
1835,Scrutineyes,1992,5.63531,Action Timer,Memory
1836,Solarquest,1985,5.57863,Income,Economic
1838,"The Who, What or Where Game",1969,0,Auction/Bidding,Movies / TV / Radio theme
1840,Not available,Not available,Not available,Not available,Not available
1842,Not available,Not available,Not available,Not available,Not available
1844,Battle of Britain,1990,5.58954,Area Movement,Aviation / Flight
1845,Zocker,1999,0,Not available,Not available
1846,Zock,0,0,Roll / Spin and Move,Dice
1847,Not available,Not available,Not available,Not available,Not available
1849,Wörtersee,1998,0,Not available,Real-time
1850,Wind City,1997,0,Not available,Not available
1851,Mythrole: Merchants,2001,0,Commodity Speculation,Economic
1852,Insikt,1991,0,Not available,Trivia
1853,Hägar ruft zum Beutefest,1989,5.47937,Point to Point Movement,Comic Book / Strip
1854,Foqus,1993,0,Not available,Party Game
1855,Hedbanz for Adults!,1991,5.43024,Deduction,Deduction
1856,Geni 2000,1999,0,Roll / Spin and Move,Party Game
1857,Time War: A Game of Time Travel and Conflict,1979,5.49892,Area Movement,Science Fiction
1858,Diamond City,1995,0,Roll / Spin and Move,Card Game
1859,Doomtrooper,1994,5.50316,Action Points,Card Game
1861,Dragonfire,1992,5.51237,Cooperative Game,Adventure
1862,Avalon,1994,5.50078,Set Collection,Medieval
1863,Tatort Titanic,1987,5.477,Variable Player Powers,Deduction
1865,Astrotime,1990,5.46071,Not available,Party Game
1866,Brainstorm,1990,5.51054,Not available,Party Game
1867,Curse of the Idol,1990,5.45977,Pick-up and Deliver,Adventure
1868,Conquistador,2001,0,Not available,Card Game
1869,Jägersro,1945,5.5327,Betting and Bluffing,Racing
1870,Gold Train,2000,0,Not available,American West
1871,Dark Side,2001,5.47643,Memory,Bluffing
1872,Hurricane: The Game of the Tropics,1988,0,Grid Movement,Nautical
1873,Babylon 5 Component Game System: Core Sets,1997,5.51998,Hexagon Grid,Card Game
1874,Not available,Not available,Not available,Not available,Not available
1876,Not available,Not available,Not available,Not available,Not available
1877,Pig Pile,2001,5.51961,Not available,Card Game
1878,Moonshot the Game,1997,5.51227,Campaign / Battle Card Driven,Exploration
1880,Armour Quest: Quæstro,1995,0,Cooperative Game,Adventure
1881,Atmosfear: The Harbingers,1995,5.57156,Modular Board,Dice
1882,Blazing Camels,2000,0,Auction/Bidding,Arabian
1883,Cataphract,1999,5.76146,Dice Rolling,Ancient
1884,Fireside Football,1996,5.5106,Simultaneous Action Selection,Sports
1885,How Much for the Camel?,1999,0,Auction/Bidding,Arabian
1886,Not available,Not available,Not available,Not available,Not available
1888,Not available,Not available,Not available,Not available,Not available
1890,Plateau,1986,5.559,Grid Movement,Abstract Strategy
1891,Portal,1997,5.55712,Hand Management,Card Game
1892,Not available,Not available,Not available,Not available,Not available
1894,War Galley,1999,5.69516,Dice Rolling,Ancient
1895,Salamis,1999,5.54516,Hexagon Grid,Ancient
1896,The American Dream Game,1979,5.51816,Auction/Bidding,Economic
1897,The Starfarers of Catan,1999,6.38753,Hexagon Grid,Exploration
1899,13 Dead End Drive,1993,5.74885,Grid Movement,Bluffing
1900,Maul of America: Raid on the Mall,2000,0,Dice Rolling,Expansion for Base-game
1901,Star Fleet Battle Force,2001,5.58363,Hand Management,Card Game
1902,Mad Scientist,2000,5.43427,Not available,Card Game
1903,Robert Ludlum's Game of Counter Espionage,1988,0,Cooperative Game,Bluffing
1904,Babylon 5 Component Game System: Reinforcements Pack #1,1998,5.51607,Modular Board,Expansion for Base-game
1905,Not available,Not available,Not available,Not available,Not available
1906,Not available,Not available,Not available,Not available,Not available
1907,International Movie Maker,1968,5.53635,Auction/Bidding,Movies / TV / Radio theme
1908,G.O.O.T.M.U.,1992,5.50154,Modular Board,Maze
1910,Venice Connection,1988,5.59214,Pattern Building,Puzzle
1911,Hollywood for Sale,1994,0,Auction/Bidding,Bluffing
1913,Transsib,1996,5.50427,Betting and Bluffing,Abstract Strategy
1915,Middle-earth,1995,6.32062,Area Movement,Adventure
1917,Stratego,1946,5.99317,Grid Movement,Abstract Strategy
1918,REM,1984,0,Set Collection,Card Game
1919,D-Day (3rd edition),1977,5.56341,Dice Rolling,Wargame
1920,The Business Game,1965,5.53597,Income,Economic
1921,Sovereign of the Seas,1979,0,Pick-up and Deliver,Adventure
1922,Not available,Not available,Not available,Not available,Not available
1923,MindTrap,1991,5.15137,Team-Based Game,Deduction
1924,Maloney's Inheritance,1988,5.54327,Auction/Bidding,Transportation
