Name,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Domain1,above_average,Bayesian Average,Most Notable Genre,Most Notable Mechanic,Price,pct_rated,bayes_above_average,Year Published,Year Offset,Owned_Per_Year,ID,BGG Rank,Mechanics,Domains
A Feast for Odin,1.0,4.0,120.0,12.0,17377.0,8.2,3.84,22794.0,Strategy Games,True,7.94,Economic,Automatic Resource Growth,74.95,0.76,True,2016.0,8.0,2849.25,177736.0,21,"Automatic Resource Growth, Dice Rolling, Grid Coverage, Income, Pattern Building, Push Your Luck, Solo / Solitaire Game, Tile Placement, Turn Order: Pass Order, Worker Placement",Strategy Games
Arkham Horror: The Card Game,1.0,2.0,120.0,14.0,28577.0,8.17,3.44,50883.0,Customizable Games,True,7.9,Adventure,Action Points,32.95,0.56,True,2016.0,8.0,6360.38,205637.0,22,"Action Points, Cooperative Game, Deck Construction, Hand Management, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers","Customizable Games, Thematic Games"
Viticulture Essential Edition,1.0,6.0,90.0,13.0,29486.0,8.08,2.91,39747.0,Strategy Games,True,7.84,Economic,Contracts,54.0,0.74,True,2015.0,9.0,4416.33,183394.0,23,"Contracts, Hand Management, Solo / Solitaire Game, Turn Order: Auction, Victory Points as a Resource, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
Nemesis,1.0,5.0,180.0,12.0,12290.0,8.4,3.35,17574.0,Thematic Games,True,7.95,Adventure,Campaign / Battle Card Driven,10.0,0.7,True,2018.0,6.0,2929.0,167355.0,24,"Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Hidden Roles, Modular Board, Player Elimination, Semi-Cooperative Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers",Thematic Games
Orléans,2.0,4.0,90.0,12.0,22244.0,8.09,3.05,27093.0,Strategy Games,True,7.87,Medieval,Contracts,45.0,0.82,True,2014.0,10.0,2709.3,164928.0,25,"Deck Bag and Pool Building, Point to Point Movement, Turn Order: Progressive",Strategy Games
Mage Knight Board Game,1.0,4.0,240.0,14.0,27850.0,8.1,4.31,39421.0,Strategy Games,True,7.85,Adventure,Card Play Conflict Resolution,52.95,0.71,True,2011.0,13.0,3032.38,96848.0,26,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Role Playing, Solo / Solitaire Game, Variable Player Powers","Strategy Games, Thematic Games"
Root,2.0,4.0,90.0,10.0,24412.0,8.1,3.67,37715.0,Strategy Games,True,7.88,Animals,Action Points,69.95,0.65,True,2018.0,6.0,6285.83,237182.0,27,"Action Queue, Action Retrieval, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Point to Point Movement, Race, Variable Player Powers","Strategy Games, Wargames"
Puerto Rico,3.0,5.0,150.0,12.0,63128.0,7.99,3.28,73413.0,Strategy Games,True,7.77,City Building,Action Drafting,26.0,0.86,True,2002.0,22.0,3336.95,3076.0,28,"Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive, Variable Phase Order",Strategy Games
Food Chain Magnate,2.0,5.0,240.0,14.0,13863.0,8.14,4.2,16413.0,Strategy Games,True,7.8,Economic,Delayed Purchase,72.5,0.84,True,2015.0,9.0,1823.67,175914.0,29,"Card Drafting, Delayed Purchase, Income, Market, Modular Board, Network and Route Building, Simultaneous Action Selection",Strategy Games
Caverna: The Cave Farmers,1.0,7.0,210.0,12.0,28123.0,8.02,3.79,35475.0,Strategy Games,True,7.76,Animals,Automatic Resource Growth,80.95,0.79,True,2013.0,11.0,3225.0,102794.0,30,"Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Tile Placement, Turn Order: Claim Action, Worker Placement",Strategy Games
Agricola,1.0,5.0,150.0,12.0,63498.0,7.94,3.64,75679.0,Strategy Games,True,7.75,Animals,Automatic Resource Growth,44.99,0.84,True,2007.0,17.0,4451.71,31260.0,31,"Advantage Token, Automatic Resource Growth, Card Drafting, Enclosure, Hand Management, Increase Value of Unchosen Resources, Solo / Solitaire Game, Turn Order: Claim Action, Variable Player Powers, Worker Placement",Strategy Games
Blood Rage,2.0,4.0,90.0,14.0,33940.0,8.0,2.88,40664.0,Strategy Games,True,7.75,Fantasy,Action Points,135.0,0.83,True,2015.0,9.0,4518.22,170216.0,32,"Action Points, Area Majority / Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",Strategy Games
Mansions of Madness: Second Edition,1.0,5.0,180.0,14.0,25116.0,8.06,2.69,39007.0,Thematic Games,True,7.71,Adventure,Area Movement,84.95,0.64,True,2016.0,8.0,4875.88,205059.0,33,"Area Movement, Cooperative Game, Dice Rolling, Hand Management, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers",Thematic Games
The 7th Continent,1.0,4.0,1000.0,14.0,16868.0,8.15,2.87,30488.0,Thematic Games,True,7.5,Adventure,Area Movement,110.0,0.55,True,2017.0,7.0,4355.43,180263.0,34,"Cooperative Game, Grid Movement, Hand Management, Map Addition, Modular Board, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Variable Player Powers",Thematic Games
Pandemic Legacy: Season 2,2.0,4.0,60.0,14.0,12100.0,8.15,3.25,24373.0,Strategy Games,True,7.72,Environmental,Action Points,63.95,0.5,True,2017.0,7.0,3481.86,221107.0,35,"Cooperative Game, Hand Management, Legacy Game, Pick-up and Deliver, Point to Point Movement, Set Collection, Trading, Variable Player Powers","Strategy Games, Thematic Games"
Everdell,1.0,4.0,80.0,13.0,19552.0,8.08,2.81,29225.0,Family Games,True,7.84,Animals,Contracts,99.0,0.67,True,2018.0,6.0,4870.83,199792.0,36,"Card Drafting, End Game Bonuses, Hand Management, Income, Solo / Solitaire Game, Variable Set-up, Worker Placement","Family Games, Strategy Games"
Maracaibo,1.0,4.0,120.0,12.0,7645.0,8.29,3.87,12042.0,Strategy Games,True,7.7,Economic,Contracts,60.0,0.63,True,2019.0,5.0,2408.4,276025.0,37,"Contracts, End Game Bonuses, Events, Hand Management, Income, Movement Points, Narrative Choice / Paragraph, Point to Point Movement, Race, Rondel, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Stock Holding, Sudden Death Ending, Tech Trees / Tech Tracks, Track Movement, Variable Set-up",Strategy Games
Kingdom Death: Monster,1.0,4.0,180.0,17.0,7553.0,8.66,4.25,10047.0,Thematic Games,True,7.65,Adventure,Cooperative Game,405.0,0.75,True,2015.0,9.0,1116.33,55690.0,38,"Cooperative Game, Dice Rolling, Grid Movement, Role Playing, Solo / Solitaire Game, Storytelling",Thematic Games
Power Grid,2.0,6.0,120.0,12.0,56214.0,7.86,3.27,66489.0,Strategy Games,True,7.7,Economic,Auction: Turn Order Until Pass,30.0,0.85,True,2004.0,20.0,3324.45,2651.0,39,"Auction/Bidding, Auction: Turn Order Until Pass, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based",Strategy Games
Tzolk'in: The Mayan Calendar,2.0,4.0,90.0,13.0,30790.0,7.9,3.67,35520.0,Strategy Games,True,7.7,Ancient,Bias,38.0,0.87,True,2012.0,12.0,2960.0,126163.0,40,"Bias, End Game Bonuses, Turn Order: Claim Action, Worker Placement",Strategy Games
The Crew: The Quest for Planet Nine,2.0,5.0,20.0,10.0,15027.0,8.02,1.99,31356.0,Family Games,True,7.66,Card Game,Communication Limits,16.0,0.48,True,2019.0,5.0,6271.2,284083.0,41,"Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking","Family Games, Strategy Games"
Mechs vs. Minions,2.0,4.0,120.0,14.0,14056.0,8.05,2.41,20196.0,Strategy Games,True,7.66,Fantasy,Action Queue,150.0,0.7,True,2016.0,8.0,2524.5,209010.0,42,"Action Queue, Bias, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Programmed Movement, Role Playing, Variable Player Powers","Strategy Games, Thematic Games"
Underwater Cities,1.0,4.0,150.0,12.0,9979.0,8.13,3.58,13474.0,Strategy Games,True,7.78,Card Game,End Game Bonuses,42.5,0.74,True,2018.0,6.0,2245.67,247763.0,43,"End Game Bonuses, Hand Management, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Worker Placement",Strategy Games
Star Wars: Imperial Assault,1.0,5.0,120.0,14.0,20512.0,8.02,3.3,35018.0,Thematic Games,True,7.67,Adventure,Dice Rolling,64.95,0.59,True,2014.0,10.0,3501.8,164153.0,44,"Dice Rolling, Die Icon Resolution, Grid Movement, Line of Sight, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers",Thematic Games
Clans of Caledonia,1.0,4.0,120.0,12.0,14835.0,8.01,3.46,17634.0,Strategy Games,True,7.68,Economic,Commodity Speculation,64.0,0.84,True,2017.0,7.0,2519.14,216132.0,45,"Commodity Speculation, Contracts, Market, Modular Board, Network and Route Building, Solo / Solitaire Game, Turn Order: Pass Order, Variable Player Powers, Variable Set-up",Strategy Games
Anachrony,1.0,4.0,120.0,15.0,11585.0,8.1,4.0,15513.0,Strategy Games,True,7.76,Economic,Contracts,89.0,0.75,True,2017.0,7.0,2216.14,185343.0,46,"Dice Rolling, Solo / Solitaire Game, Tug of War, Turn Order: Claim Action, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
Le Havre,1.0,5.0,150.0,12.0,26494.0,7.87,3.74,29701.0,Strategy Games,True,7.68,City Building,Automatic Resource Growth,38.95,0.89,True,2008.0,16.0,1856.31,35677.0,47,"Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Solo / Solitaire Game, Worker Placement",Strategy Games
Too Many Bones,1.0,4.0,120.0,12.0,6055.0,8.45,3.85,9087.0,Strategy Games,True,7.87,Adventure,Cooperative Game,230.0,0.67,True,2017.0,7.0,1298.14,192135.0,48,"Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move, Role Playing, Roles with Asymmetric Information, Solo / Solitaire Game, Stat Check Resolution, Turn Order: Role Order, Variable Player Powers","Strategy Games, Thematic Games"
Through the Ages: A Story of Civilization,2.0,4.0,120.0,12.0,18004.0,7.93,4.17,17423.0,Strategy Games,True,7.59,Civilization,Action Points,59.99,1.03,True,2006.0,18.0,967.94,25613.0,49,"Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Hand Management",Strategy Games
Azul,2.0,4.0,45.0,8.0,53615.0,7.83,1.77,79526.0,Abstract Games,True,7.63,Abstract Strategy,End Game Bonuses,42.49,0.67,True,2017.0,7.0,11360.86,230802.0,50,"Card Drafting, End Game Bonuses, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action","Abstract Games, Family Games"
Marvel Champions: The Card Game,1.0,4.0,90.0,14.0,9616.0,8.2,2.8,16713.0,Customizable Games,True,7.8,Card Game,Card Play Conflict Resolution,10.0,0.58,True,2019.0,5.0,3342.6,285774.0,51,"Cooperative Game, Deck Construction, Hand Management, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers, Variable Set-up",Customizable Games
Eclipse,2.0,6.0,180.0,14.0,26165.0,7.89,3.7,26710.0,Strategy Games,True,7.61,Civilization,Dice Rolling,53.95,0.98,True,2011.0,13.0,2054.62,72125.0,52,"Area Majority / Influence, Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",Strategy Games
Eclipse,2.0,6.0,180.0,14.0,26165.0,7.89,3.7,26710.0,Strategy Games,True,7.61,Civilization,Dice Rolling,53.95,0.98,True,1999.0,25.0,1068.4,72125.0,52,"Area Majority / Influence, Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",Strategy Games
Eclipse,2.0,2.0,15.0,8.0,156.0,6.13,1.89,288.0,Abstract Games,False,5.55,Abstract Strategy,Not available,9.95,0.54,True,2011.0,13.0,22.15,72125.0,52,"Area Majority / Influence, Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",Strategy Games
Eclipse,2.0,2.0,15.0,8.0,156.0,6.13,1.89,288.0,Abstract Games,False,5.55,Abstract Strategy,Not available,9.95,0.54,True,1999.0,25.0,11.52,72125.0,52,"Area Majority / Influence, Dice Rolling, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",Strategy Games
Clank! Legacy: Acquisitions Incorporated,2.0,4.0,120.0,13.0,3295.0,8.79,2.7,7209.0,Thematic Games,True,7.95,Adventure,"Deck, Bag, and Pool Building",100.0,0.46,True,2019.0,5.0,1441.8,266507.0,53,"Card Drafting, Deck Bag and Pool Building, Legacy Game, Once-Per-Game Abilities, Point to Point Movement, Push Your Luck",Thematic Games
Android: Netrunner,2.0,2.0,45.0,14.0,26748.0,7.87,3.38,41315.0,Customizable Games,True,7.66,Bluffing,Action Points,25.95,0.65,True,2012.0,12.0,3442.92,124742.0,54,"Action Points, Deck Construction, Hand Management, Secret Unit Deployment, Take That, Variable Player Powers",Customizable Games
