Name,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Domain1,above_average,Bayesian Average,Most Notable Genre,Most Notable Mechanic,Price,pct_rated,bayes_above_average,Year Published,Owned_Bool,Year Offset,Owned_Per_Year,perYear_Bool
Colors of Paris,2,4,60,10,716,7.1,2.32,1293,other,True,6.03,Not available,Contracts,50.0,0.55,True,2019,True,5,258.6,True
PanzerBlitz,2,2,90,12,1664,6.54,3.07,3947,Wargames,True,5.95,Wargame,Dice Rolling,18.0,0.42,True,1970,True,54,73.09,True
Piñata,2,2,30,13,891,6.82,1.48,1511,Family Games,True,5.92,Card Game,Hand Management,15.99,0.59,True,2013,True,11,137.36,True
Die Legenden von Andor: Chada & Thorn,2,2,45,10,1115,6.73,2.19,2649,Thematic Games,True,5.91,Card Game,Cooperative Game,19.99,0.42,True,2015,True,9,294.33,True
Tiny Epic Defenders,1,4,30,13,2532,6.29,1.81,6413,Strategy Games,False,5.91,Fantasy,Action Points,24.0,0.39,True,2015,True,9,712.56,True
Throw Throw Burrito Original Edition,2,6,15,7,1212,6.78,1.09,4439,Party Games,True,5.95,Action / Dexterity,Real-Time,20.0,0.27,True,2019,True,5,887.8,True
Parfum,2,4,45,8,1512,6.51,2.07,3173,Family Games,True,5.91,Industry / Manufacturing,Action Points,25.48,0.48,True,2015,True,9,352.56,True
Rush & Bash,2,6,30,7,944,6.8,1.39,1703,Family Games,True,5.94,Fantasy,Hand Management,19.95,0.55,True,2015,True,9,189.22,True
Jet Set,2,6,120,12,978,6.74,2.57,1156,Strategy Games,True,5.9,Aviation / Flight,Network and Route Building,20.0,0.85,True,2008,True,16,72.25,True
SeaFall,3,5,180,14,3126,6.29,3.76,8611,Strategy Games,False,5.87,Civilization,Campaign / Battle Card Driven,54.95,0.36,True,2016,True,8,1076.38,True
Smash Up: Munchkin,2,4,45,12,1335,6.62,2.18,5052,Strategy Games,True,5.91,Card Game,Area Majority / Influence,29.95,0.26,True,2015,True,9,561.33,True
Tales of Glory,2,5,45,10,589,7.28,1.73,1079,other,True,6.02,Fantasy,Hand Management,25.0,0.55,True,2018,True,6,179.83,True
BATTALIA: The Creation,2,4,180,12,824,7.4,3.49,1508,Strategy Games,True,5.87,Card Game,Area Majority / Influence,74.0,0.55,True,2015,True,9,167.56,True
Darjeeling,2,5,60,12,1311,6.56,2.22,1395,Family Games,True,5.9,Economic,Commodity Speculation,25.95,0.94,True,2007,True,17,82.06,True
German Railways,3,5,60,12,815,6.86,2.93,1379,Strategy Games,True,5.95,Economic,Auction/Bidding,80.0,0.59,True,2008,True,16,86.19,True
Trash Pandas,2,4,20,8,1153,6.68,1.42,3266,other,True,6.03,Animals,Action Retrieval,15.0,0.35,True,2017,True,7,466.57,True
David & Goliath,3,6,60,8,1568,6.45,1.63,1896,Family Games,True,5.95,Card Game,Trick-taking,6.95,0.83,True,1997,True,27,70.22,True
Leader 1: Hell of the North,2,10,45,14,447,7.71,2.69,818,Strategy Games,True,5.89,Racing,Modular Board,34.9,0.55,True,2011,True,13,62.92,True
Hotshots,1,4,60,10,723,7.07,2.13,1614,Family Games,True,5.92,Dice,Cooperative Game,28.8,0.45,True,2017,True,7,230.57,True
Infection: Humanity's Last Gasp,1,1,45,13,559,7.33,2.11,1051,Strategy Games,True,5.89,Medical,Action/Event,16.0,0.53,True,2013,True,11,95.55,True
Ekö,2,4,60,8,833,6.91,2.66,1512,Abstract Games,True,5.91,Abstract Strategy,Grid Movement,55.0,0.55,True,2015,True,9,168.0,True
Runewars Miniatures Game,2,2,90,14,549,7.71,3.06,1651,Wargames,True,5.9,Fantasy,Action Points,90.0,0.33,True,2017,True,7,235.86,True
Ghost Blitz: 5 to 12,2,8,20,8,828,6.97,1.35,1565,Party Games,True,5.93,Action / Dexterity,Pattern Recognition,20.0,0.53,True,2013,True,11,142.27,True
Pokémon Trading Card Game,2,2,20,6,3455,6.26,2.01,4734,Customizable Games,False,6.05,Card Game,Deck Construction,20.0,0.73,True,1996,True,28,169.07,True
Planet Apocalypse,1,5,90,14,386,8.26,3.08,867,Strategy Games,True,6.07,Fantasy,Cooperative Game,200.0,0.45,True,2020,True,4,216.75,True
Ascension X: War of Shadows,2,4,45,13,482,7.61,2.17,1043,other,True,5.93,Card Game,"Deck, Bag, and Pool Building",15.0,0.46,True,2016,True,8,130.38,True
Camp Grizzly,1,6,60,18,665,7.43,2.09,1030,Thematic Games,True,5.96,Fighting,Cooperative Game,79.99,0.65,True,2013,True,11,93.64,True
Where There Is Discord: War in the South Atlantic,1,1,240,0,403,7.89,3.1,915,Wargames,True,5.88,Modern Warfare,Dice Rolling,92.91,0.44,True,2009,True,15,61.0,True
Comuni,2,5,90,12,1036,6.7,3.31,1191,Strategy Games,True,5.89,City Building,Auction/Bidding,32.9,0.87,True,2008,True,16,74.44,True
The Third World War: Battle for Germany,2,2,360,12,451,7.8,3.47,968,Wargames,True,5.88,Modern Warfare,Dice Rolling,100.0,0.47,True,1984,True,40,24.2,True
Camel Up Cards,2,6,60,8,1048,6.71,1.74,2289,other,True,5.93,Card Game,Betting and Bluffing,12.95,0.46,True,2016,True,8,286.12,True
Car Wars,2,8,45,10,2150,6.39,3.1,4773,Thematic Games,False,5.93,Fighting,Dice Rolling,5.0,0.45,True,1981,True,43,111.0,True
Resident Evil Deck Building Game,1,4,30,13,1768,6.56,2.28,3057,Customizable Games,True,5.91,Card Game,"Deck, Bag, and Pool Building",21.99,0.58,True,2010,True,14,218.36,True
"UltraQuest: Gold, Ruhm! und Ehre!",2,5,600,10,378,8.33,2.75,728,Thematic Games,True,6.01,Adventure,Dice Rolling,45.0,0.52,True,2016,True,8,91.0,True
Ukraine '43,2,4,360,12,417,7.85,3.58,1484,Wargames,True,5.92,Wargame,Dice Rolling,72.0,0.28,True,2000,True,24,61.83,True
Byzanz,3,6,45,8,1123,6.62,1.61,1835,Family Games,True,5.94,Card Game,Auction: Turn Order Until Pass,8.5,0.61,True,2008,True,16,114.69,True
Dungeon Roll,1,4,15,8,7595,6.12,1.33,14510,Family Games,False,5.92,Dice,Dice Rolling,25.0,0.52,True,2013,True,11,1319.09,True
Myth,2,5,120,12,1618,6.64,3.84,3750,Thematic Games,True,5.86,Adventure,Cooperative Game,210.0,0.43,True,2014,True,10,375.0,True
Nobody Is Perfect,3,10,45,14,839,6.87,1.6,1485,Party Games,True,5.95,Bluffing,Simultaneous Action Selection,10.0,0.56,True,1992,True,32,46.41,True
Dungeons & Dragons: The Fantasy Adventure Board Game,2,5,60,10,1751,6.56,2.19,3734,Thematic Games,True,5.94,Adventure,Dice Rolling,24.99,0.47,True,2003,True,21,177.81,True
7 Ronin,2,2,30,14,763,6.98,2.22,1473,Strategy Games,True,5.9,Medieval,Area Majority / Influence,34.9,0.52,True,2013,True,11,133.91,True
Tiny Epic Tactics,1,4,60,14,876,6.97,2.4,3927,Strategy Games,True,5.98,Fantasy,Area Majority / Influence,25.0,0.22,True,2019,True,5,785.4,True
The Grimm Masquerade,2,5,40,8,705,7.03,1.6,1655,Family Games,True,6.02,Bluffing,Deduction,23.0,0.43,True,2019,True,5,331.0,True
BioShock Infinite: The Siege of Columbia,2,4,90,13,1063,6.74,2.9,3007,Thematic Games,True,5.88,Fighting,Area Majority / Influence,52.95,0.35,True,2013,True,11,273.36,True
Beasts of Balance,1,5,30,7,798,6.99,1.09,1929,other,True,5.89,Action / Dexterity,Cooperative Game,59.5,0.41,True,2016,True,8,241.12,True
5-Minute Mystery,1,4,30,8,530,7.44,1.13,1765,other,True,6.24,Murder/Mystery,Cooperative Game,35.0,0.3,True,2020,True,4,441.25,True
Pairs,2,8,15,0,2072,6.36,1.15,5304,Family Games,False,5.92,Card Game,Push Your Luck,8.99,0.39,True,2014,True,10,530.4,True
Starcadia Quest,2,4,60,13,468,7.75,2.88,1715,other,True,6.04,Adventure,Dice Rolling,239.99,0.27,True,2020,True,4,428.75,True
Stratego,2,2,45,8,13826,6.09,1.85,23834,Abstract Games,False,5.99,Abstract Strategy,Grid Movement,5.0,0.58,True,1946,True,78,305.56,True
Stratego,2,2,45,8,13826,6.09,1.85,23834,Abstract Games,False,5.99,Abstract Strategy,Grid Movement,5.0,0.58,True,2011,True,13,1833.38,True
Thebes: The Tomb Raiders,2,4,30,8,820,6.87,2.04,1586,Family Games,True,5.91,Card Game,Open Drafting,10.0,0.52,True,2013,True,11,144.18,True
Village Pillage,2,5,20,10,716,7.48,1.42,1266,other,True,6.03,Card Game,Hand Management,23.99,0.57,True,2019,True,5,253.2,True
Escape the Room: Secret of Dr. Gravely's Retreat,3,8,90,13,723,6.99,1.77,1440,other,True,5.92,Deduction,Cooperative Game,45.0,0.5,True,2016,True,8,180.0,True
The Enchanted Tower,2,4,25,5,1064,6.69,1.14,2201,Children's Games,True,5.93,Bluffing,Dice Rolling,31.95,0.48,True,2012,True,12,183.42,True
Timeline,2,8,15,8,1563,6.45,1.16,2149,Party Games,True,6.02,Card Game,Not available,17.0,0.73,True,2012,True,12,179.08,True
Glasgow,2,2,30,10,546,7.37,2.2,1460,Strategy Games,True,6.31,City Building,Map Addition,10.0,0.37,True,2020,True,4,365.0,True
Bullfrogs,2,4,40,8,981,6.79,1.91,1950,Abstract Games,True,5.89,Abstract Strategy,Action Points,30.0,0.5,True,2015,True,9,216.67,True
Federation Commander: Klingon Border,2,8,60,12,550,7.43,3.39,1063,Thematic Games,True,5.87,Movies / TV / Radio theme,Action Points,27.5,0.52,True,2005,True,19,55.95,True
Professor Evil and The Citadel of Time,2,4,45,8,1157,6.65,1.93,2332,other,True,5.94,Spies/Secret Agents,Action Points,38.0,0.5,True,2017,True,7,333.14,True
Robin of Locksley,2,2,45,10,606,7.18,1.92,1179,other,True,5.99,Economic,Modular Board,25.0,0.51,True,2019,True,5,235.8,True
Shadows in Kyoto,2,2,30,10,807,6.94,2.0,2391,Abstract Games,True,5.95,Abstract Strategy,Grid Movement,21.0,0.34,True,2017,True,7,341.57,True
Dungeons & Dragons: Rock Paper Wizard,3,6,30,14,1126,6.67,1.38,2407,Party Games,True,5.93,Fantasy,Simultaneous Action Selection,22.0,0.47,True,2016,True,8,300.88,True
Steam over Holland,2,5,180,0,523,7.33,3.78,569,Strategy Games,True,5.87,Economic,Auction/Bidding,70.0,0.92,True,2007,True,17,33.47,True
Commands & Colors: Medieval,2,2,120,12,332,8.35,2.64,1037,Wargames,True,6.01,Medieval,Campaign / Battle Card Driven,51.99,0.32,True,2019,True,5,207.4,True
String Railway,2,5,30,8,1866,6.35,1.43,2834,Family Games,False,5.9,Territory Building,Modular Board,65.0,0.66,True,2009,True,15,188.93,True
Terra Nova,2,4,45,10,1643,6.41,2.26,2458,Abstract Games,False,5.93,Abstract Strategy,Area Majority / Influence,22.95,0.67,True,2006,True,18,136.56,True
Catacombs of Karak,2,5,45,7,663,7.3,1.47,1455,Children's Games,True,6.41,Adventure,Dice Rolling,25.0,0.46,True,2017,True,7,207.86,True
Silent War,1,2,120,12,596,7.34,3.39,1518,Wargames,True,5.88,Nautical,Chit-Pull System,55.0,0.39,True,2005,True,19,79.89,True
Colonia,3,6,120,12,1168,6.6,3.11,1561,Strategy Games,True,5.9,Economic,Auction/Bidding,85.0,0.75,True,2009,True,15,104.07,True
Deadwood,2,5,60,13,1835,6.39,2.17,3219,Family Games,False,5.89,American West,Dice Rolling,21.95,0.57,True,2011,True,13,247.62,True
Skytear,2,4,45,13,514,8.53,3.14,916,Customizable Games,True,6.05,Card Game,Action Points,125.0,0.56,True,2020,True,4,229.0,True
Cosmogenesis,2,4,60,12,518,7.47,2.7,748,Strategy Games,True,5.95,Space Exploration,Simulation,65.0,0.69,True,2017,True,7,106.86,True
Exploding Kittens: NSFW Deck,2,5,20,18,7717,6.22,1.07,20857,Party Games,False,5.97,Animals,Hand Management,10.0,0.37,True,2015,True,9,2317.44,True
Healthy Heart Hospital,1,5,90,13,592,7.25,2.81,1160,Strategy Games,True,5.9,Economic,Action Points,49.9,0.51,True,2015,True,9,128.89,True
Lignum,2,4,120,12,544,7.3,3.79,796,Strategy Games,True,5.91,Economic,Action Queue,47.5,0.68,True,2015,True,9,88.44,True
First Orchard,1,4,10,2,998,6.72,1.0,2278,Children's Games,True,6.01,Children's Game,Cooperative Game,25.0,0.44,True,2009,True,15,151.87,True
Aquädukt,2,4,30,8,1627,6.41,1.7,1843,Family Games,False,5.89,City Building,Dice Rolling,18.0,0.88,True,2005,True,19,97.0,True
Skies Above the Reich,1,2,60,12,373,8.3,3.1,1185,Wargames,True,5.93,Aviation / Flight,Dice Rolling,58.99,0.31,True,2018,True,6,197.5,True
The Napoleonic Wars,2,5,240,12,754,7.0,3.47,1077,Wargames,True,5.88,Napoleonic,Campaign / Battle Card Driven,40.0,0.7,True,2002,True,22,48.95,True
Bios: Megafauna,1,4,120,12,776,6.93,3.69,1335,Strategy Games,True,5.87,Animals,Area Majority / Influence,44.95,0.58,True,2011,True,13,102.69,True
Raxxon,1,4,60,14,830,6.85,2.0,2294,Thematic Games,True,5.94,Horror,Action Points,50.0,0.36,True,2017,True,7,327.71,True
Cities: Skylines - The Board Game,1,4,70,10,896,6.82,2.35,1873,Family Games,True,5.91,City Building,Cooperative Game,35.0,0.48,True,2019,True,5,374.6,True
Band of Brothers: Ghost Panzer,2,2,90,8,365,8.05,2.69,1319,Wargames,True,5.89,Wargame,Dice Rolling,49.95,0.28,True,2013,True,11,119.91,True
Decktet,0,0,30,0,494,7.46,2.0,1492,Family Games,True,5.88,Card Game,Not available,10.0,0.33,True,2008,True,16,93.25,True
Space Park,1,4,30,14,596,7.31,1.87,1363,other,True,6.07,Science Fiction,Action Queue,20.0,0.44,True,2018,True,6,227.17,True
"Sun, Sea & Sand",2,5,60,10,737,6.91,2.61,894,Strategy Games,True,5.88,Economic,Tile Placement,26.99,0.82,True,2010,True,14,63.86,True
History of the World,3,6,180,14,500,7.44,2.55,1118,Thematic Games,True,6.01,Age of Reason,Area Majority / Influence,54.99,0.45,True,1991,True,33,33.88,True
History of the World,3,6,180,14,500,7.44,2.55,1118,Thematic Games,True,6.01,Age of Reason,Area Majority / Influence,54.99,0.45,True,2018,True,6,186.33,True
Beasty Bar: New Beasts in Town,2,4,20,8,664,7.03,1.81,1432,other,True,5.94,Animals,Hand Management,17.99,0.46,True,2015,True,9,159.11,True
Fire in the Sky: The Great Pacific War 1941-1945,2,2,300,12,499,7.52,3.2,1123,Wargames,True,5.92,Aviation / Flight,Dice Rolling,40.0,0.44,True,1999,True,25,44.92,True
Dilluvia Project,2,4,120,12,557,7.25,3.71,796,Strategy Games,True,5.9,City Building,Tile Placement,69.0,0.7,True,2015,True,9,88.44,True
Texas Showdown,3,6,45,10,600,7.16,1.38,819,other,True,6.27,American West,Trick-taking,8.9,0.73,True,2015,True,9,91.0,True
Star Trek: Five-Year Mission,3,7,45,10,1421,6.53,1.76,2957,Family Games,True,5.93,Dice,Action Timer,35.0,0.48,True,2015,True,9,328.56,True
1835,3,7,360,16,699,7.05,3.99,1286,Strategy Games,True,5.88,Economic,Auction/Bidding,30.0,0.54,True,1990,True,34,37.82,True
Billabong,2,4,30,10,798,6.87,1.92,897,Abstract Games,True,5.91,Abstract Strategy,Grid Movement,22.0,0.89,True,1992,True,32,28.03,True
Arcane Academy,2,4,45,12,942,6.79,2.24,1568,other,True,5.88,Comic Book / Strip,Open Drafting,80.0,0.6,True,2016,True,8,196.0,True
Dominare,2,6,120,12,846,6.83,3.45,1397,Strategy Games,True,5.88,Economic,Area Majority / Influence,37.49,0.61,True,2012,True,12,116.42,True
Neuland,2,4,120,14,1388,6.48,3.7,2166,Strategy Games,True,5.89,Civilization,Action Points,52.99,0.64,True,2004,True,20,108.3,True
Arena: The Contest,1,8,90,14,600,8.99,2.79,1094,Thematic Games,True,6.1,Adventure,Action Queue,374.95,0.55,True,2019,True,5,218.8,True
Nevermore,3,6,60,14,1075,6.69,1.88,1961,Family Games,True,5.89,Animals,Closed Drafting,29.99,0.55,True,2015,True,9,217.89,True
Streetcar,2,5,60,10,1480,6.45,2.06,2244,Family Games,True,5.91,Trains,Network and Route Building,20.0,0.66,True,1995,True,29,77.38,True
Fallen,2,2,90,14,479,7.96,3.07,860,Thematic Games,True,5.85,Card Game,Dice Rolling,50.0,0.56,True,2014,True,10,86.0,True
Eminent Domain: Microcosm,2,2,15,13,1471,6.45,1.96,4032,Strategy Games,True,5.87,Card Game,Action Retrieval,10.0,0.36,True,2014,True,10,403.2,True
1822: The Railways of Great Britain,3,7,420,12,308,8.31,4.29,356,Strategy Games,True,6.11,Economic,Auction/Bidding,160.0,0.87,True,2016,True,8,44.5,True
Spy Club,2,4,45,10,657,7.09,2.11,1635,Family Games,True,5.91,Card Game,Action Points,44.99,0.4,True,2018,True,6,272.5,True
Qwirkle Cubes,2,4,45,6,1223,6.57,1.62,2231,Family Games,True,5.91,Abstract Strategy,Dice Rolling,16.0,0.55,True,2009,True,15,148.73,True
Minerva,1,4,90,10,785,6.87,2.76,1815,Strategy Games,True,5.89,City Building,Contracts,60.0,0.43,True,2015,True,9,201.67,True
Slide Quest,1,4,45,7,996,6.73,1.06,2031,Family Games,True,6.0,Action / Dexterity,Cooperative Game,25.0,0.49,True,2019,True,5,406.2,True
Illimat,2,4,60,12,660,7.41,2.0,1586,Abstract Games,True,5.99,Abstract Strategy,Hand Management,85.0,0.42,True,2017,True,7,226.57,True
The Werewolves of Miller's Hollow: The Village,8,18,30,8,729,6.93,1.72,1647,Party Games,True,5.88,Bluffing,Hidden Roles,24.0,0.44,True,2009,True,15,109.8,True
Master Labyrinth,2,4,30,10,2453,6.29,1.79,4650,Family Games,False,5.92,Children's Game,Map Deformation,15.0,0.53,True,1991,True,33,140.91,True
Master Labyrinth,2,4,30,10,2453,6.29,1.79,4650,Family Games,False,5.92,Children's Game,Map Deformation,15.0,0.53,True,2007,True,17,273.53,True
Yomi (Second Edition),1,4,20,10,484,7.59,2.74,1182,Strategy Games,True,5.88,Card Game,Hand Management,250.0,0.41,True,2014,True,10,118.2,True
Catch Phrase!,4,16,30,12,2309,6.34,1.14,3261,Party Games,False,5.92,Party Game,Hot Potato,16.0,0.71,True,1994,True,30,108.7,True
Clue Master Detective,3,10,60,8,1285,6.61,1.85,2681,Family Games,True,5.94,Deduction,Deduction,55.0,0.48,True,1988,True,36,74.47,True
NOIR: Deductive Mystery Game,2,9,5,8,1340,6.54,1.64,2732,Family Games,True,5.89,Deduction,Secret Unit Deployment,42.0,0.49,True,2012,True,12,227.67,True
"Downtown: Air War Over Hanoi, 1965-1972",2,2,240,14,415,7.89,4.08,1120,Wargames,True,5.88,Aviation / Flight,Chit-Pull System,47.95,0.37,True,2004,True,20,56.0,True
Dschunke,3,4,60,10,1068,6.65,2.54,1584,Family Games,True,5.87,Economic,Auction/Bidding,19.0,0.67,True,2002,True,22,72.0,True
Fresh Fish,2,5,60,12,917,6.71,3.06,898,Strategy Games,True,5.9,City Building,Tile Placement,24.0,1.02,True,1997,True,27,33.26,True
Fresh Fish,2,5,60,12,917,6.71,3.06,898,Strategy Games,True,5.9,City Building,Tile Placement,24.0,1.02,True,2014,True,10,89.8,True
Munchkin Marvel,3,6,120,10,1017,6.94,2.15,3319,other,True,5.91,Card Game,Dice Rolling,24.99,0.31,True,2016,True,8,414.88,True
Carson City: The Card Game,1,6,45,12,731,6.94,2.14,1313,Strategy Games,True,5.93,American West,Auction/Bidding,17.9,0.56,True,2018,True,6,218.83,True
Under Falling Skies: A 9-Card Print-and-Play Game,1,1,40,8,501,7.56,2.63,981,Strategy Games,True,5.98,Print & Play,Dice Rolling,15.5,0.51,True,2019,True,5,196.2,True
Three-Dragon Ante,2,6,20,12,1560,6.48,1.72,2755,Family Games,True,5.91,Animals,Betting and Bluffing,9.99,0.57,True,2005,True,19,145.0,True
Axis & Allies: D-Day,2,3,120,12,1977,6.43,2.37,3828,Wargames,False,5.91,Wargame,Area Movement,31.95,0.52,True,2004,True,20,191.4,True
The Great Dinosaur Rush,2,5,60,10,648,7.09,2.17,1205,Family Games,True,5.89,Not available,Set Collection,49.99,0.54,True,2016,True,8,150.62,True
Poseidon's Kingdom,2,4,60,10,782,6.84,2.4,1306,Family Games,True,5.87,Animals,Area Movement,100.0,0.6,True,2011,True,13,100.46,True
The Settlers of Canaan,2,4,60,7,1297,6.75,2.33,2636,Family Games,True,5.88,Ancient,Hand Management,24.0,0.49,True,2002,True,22,119.82,True
Crossing,3,6,15,6,1139,6.61,1.06,1860,Family Games,True,5.98,Bluffing,Set Collection,15.0,0.61,True,2013,True,11,169.09,True
Dust Tactics,2,4,30,0,709,7.15,2.94,1360,Wargames,True,5.85,Collectible Components,Action Points,64.99,0.52,True,2010,True,14,97.14,True
Dust Tactics,2,4,30,0,709,7.15,2.94,1360,Wargames,True,5.85,Collectible Components,Action Points,64.99,0.52,True,2014,True,10,136.0,True
Warhammer Underworlds: Beastgrave,2,4,30,12,356,8.28,3.27,1116,other,True,5.95,Fantasy,Action Points,49.0,0.32,True,2019,True,5,223.2,True
Nefarious,2,6,45,8,2430,6.29,1.74,3367,Family Games,False,5.9,Card Game,Hand Management,32.0,0.72,True,2011,True,13,259.0,True
Australia,2,5,90,10,1370,6.49,2.4,1581,Family Games,True,5.89,Aviation / Flight,Action Points,29.99,0.87,True,2005,True,19,83.21,True
Alone,2,4,120,14,492,7.64,3.16,1469,Thematic Games,True,6.03,Science Fiction,Action Queue,139.0,0.33,True,2019,True,5,293.8,True
Mousquetaires du Roy,1,5,75,12,812,6.84,2.89,1605,Thematic Games,True,5.88,Adventure,Cooperative Game,43.0,0.51,True,2010,True,14,114.64,True
Star Trek: Expeditions,1,4,60,14,1480,6.48,2.41,2692,Thematic Games,True,5.9,Adventure,Cooperative Game,32.95,0.55,True,2011,True,13,207.08,True
Shanghaien,2,2,20,8,1215,6.56,1.47,1422,Family Games,True,5.89,Dice,Dice Rolling,15.9,0.85,True,2008,True,16,88.88,True
Escape from the Hidden Castle,2,8,30,8,1603,6.43,1.14,2488,Family Games,False,5.85,Children's Game,Dice Rolling,7.0,0.64,True,1989,True,35,71.09,True
Hokkaido,2,5,40,8,642,7.08,2.13,1427,Family Games,True,5.92,Card Game,Hand Management,25.0,0.45,True,2018,True,6,237.83,True
Hellenes: Campaigns of the Peloponnesian War,2,2,240,12,494,7.46,2.99,1281,Wargames,True,5.86,Ancient,Area Movement,41.95,0.39,True,2009,True,15,85.4,True
Fortress America,2,4,150,14,846,6.86,2.7,2308,Wargames,True,5.87,Science Fiction,Area Movement,49.95,0.37,True,1986,True,38,60.74,True
Fortress America,2,4,150,14,846,6.86,2.7,2308,Wargames,True,5.87,Science Fiction,Area Movement,49.95,0.37,True,2012,True,12,192.33,True
Russian Front,2,2,1200,12,664,7.22,3.33,1510,Wargames,True,5.9,Wargame,Dice Rolling,25.0,0.44,True,1985,True,39,38.72,True
Storm Over Stalingrad,1,2,180,12,607,7.12,2.2,1327,Wargames,True,5.88,Wargame,Area Movement,39.99,0.46,True,2006,True,18,73.72,True
"Warhammer 40,000 (Fifth Edition)",2,12,60,0,1067,6.71,3.74,1585,Thematic Games,True,5.88,Fighting,Dice Rolling,40.0,0.67,True,2008,True,16,99.06,True
Zany Penguins,2,5,20,7,969,6.69,1.42,1637,Family Games,True,5.88,Animals,Area Majority / Influence,15.0,0.59,True,2016,True,8,204.62,True
Getaway Driver,2,2,45,12,816,6.84,2.52,2881,Strategy Games,True,5.87,City Building,Hand Management,25.0,0.28,True,2019,True,5,576.2,True
Santa Fe Rails,2,5,60,12,848,6.79,2.52,976,Strategy Games,True,5.87,Trains,Network and Route Building,25.0,0.87,True,2001,True,23,42.43,True
Leo,2,5,30,6,970,6.7,1.19,1660,Children's Games,True,5.95,Children's Game,Cooperative Game,24.95,0.58,True,2016,True,8,207.5,True
Chimera,3,3,45,13,662,7.03,2.18,1604,Strategy Games,True,5.92,Card Game,Auction/Bidding,5.0,0.41,True,2014,True,10,160.4,True
TOKYO METRO,1,5,90,14,489,7.37,3.3,1393,other,True,5.97,Economic,Area Majority / Influence,117.0,0.35,True,2018,True,6,232.17,True
Via Appia,2,4,45,8,1039,6.65,1.96,1522,Family Games,True,5.88,Ancient,Push Your Luck,38.0,0.68,True,2013,True,11,138.36,True
Chaosmos,2,4,90,12,790,6.94,2.69,1504,Strategy Games,True,5.89,Adventure,Action Points,38.0,0.53,True,2015,True,9,167.11,True
Wordsy,1,6,20,10,672,7.0,1.25,1276,other,True,5.92,Real-time,Paper-and-Pencil,10.99,0.53,True,2017,True,7,182.29,True
Milestones,2,4,60,10,1096,6.59,2.6,1894,Strategy Games,True,5.9,Territory Building,Network and Route Building,28.5,0.58,True,2012,True,12,157.83,True
12 Days,3,5,15,8,1292,6.52,1.21,2862,Family Games,True,5.92,Card Game,Auction/Bidding,12.0,0.45,True,2011,True,13,220.15,True
Livingstone,2,5,35,8,1464,6.46,2.02,1883,Family Games,True,5.89,Adventure,Area Majority / Influence,17.0,0.78,True,2009,True,15,125.53,True
Battleship Galaxies,2,4,70,13,1206,6.57,2.38,2583,Thematic Games,True,5.87,Miniatures,Action Points,42.95,0.47,True,2011,True,13,198.69,True
Neuroshima: Convoy,2,2,40,10,986,6.71,2.58,2308,Strategy Games,True,5.87,Card Game,Area Movement,28.0,0.43,True,2012,True,12,192.33,True
Fürstenfeld,2,5,60,13,1196,6.52,2.46,1361,Strategy Games,True,5.88,Economic,Commodity Speculation,34.9,0.88,True,2010,True,14,97.21,True
Timeline: American History,2,8,15,8,964,6.7,1.15,2493,Family Games,True,5.89,Card Game,Not available,10.0,0.39,True,2014,True,10,249.3,True
Kobayakawa,3,6,15,9,1797,6.35,1.18,2854,Family Games,False,5.9,Card Game,Betting and Bluffing,25.0,0.63,True,2013,True,11,259.45,True
Mystery Rummy: Al Capone and the Chicago Underworld,2,4,40,8,798,6.84,1.59,1475,Family Games,True,5.87,Card Game,Hand Management,9.0,0.54,True,2003,True,21,70.24,True
Masques,2,4,45,13,1379,6.51,2.01,2978,Family Games,True,5.88,Card Game,Area Majority / Influence,25.0,0.46,True,2010,True,14,212.71,True
World Championship Russian Roulette,2,6,30,12,783,6.94,1.33,1241,Party Games,True,5.95,Bluffing,Betting and Bluffing,35.0,0.63,True,2017,True,7,177.29,True
Bites,2,5,20,12,532,7.3,1.5,1314,other,True,6.25,Abstract Strategy,Commodity Speculation,20.0,0.4,True,2020,True,4,328.5,True
Apex Theropod Deck-Building Game,1,6,290,14,588,7.33,2.94,1133,Thematic Games,True,5.87,Animals,"Deck, Bag, and Pool Building",60.0,0.52,True,2015,True,9,125.89,True
Doctor Who: Time of the Daleks,2,4,120,14,729,7.08,2.36,1799,other,True,5.92,Dice,Cooperative Game,49.99,0.41,True,2017,True,7,257.0,True
Buffy the Vampire Slayer: The Board Game,1,6,60,13,973,6.88,2.74,2529,other,True,5.9,Fantasy,Cooperative Game,22.0,0.38,True,2016,True,8,316.12,True
Buffy the Vampire Slayer: The Board Game,1,6,60,13,973,6.88,2.74,2529,other,True,5.9,Fantasy,Cooperative Game,22.0,0.38,True,2000,True,24,105.38,True
12 Thieves,2,4,45,8,1538,6.44,1.86,1993,Family Games,True,5.89,Arabian,Area Movement,22.95,0.77,True,2006,True,18,110.72,True
Pyramids,2,5,30,10,860,6.75,1.95,1566,Family Games,True,5.92,Ancient,Open Drafting,19.99,0.55,True,2017,True,7,223.71,True
Foothills,2,2,45,10,555,7.19,2.77,1353,other,True,5.93,Card Game,Hand Management,23.19,0.41,True,2019,True,5,270.6,True
Café International,2,4,60,10,2534,6.24,1.66,3595,Family Games,False,5.9,Abstract Strategy,Hand Management,20.0,0.7,True,1989,True,35,102.71,True
