Name,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Domain1,above_average,Bayesian Average,Most Notable Genre,Most Notable Mechanic,Price,pct_rated,bayes_above_average,Year Published,Owned_Bool,Year Offset,Owned_Per_Year,perYear_Bool
At the Gates of Loyang,1,4,120,10,9766,7.38,3.13,12778,Strategy Games,True,0.0,unspecified,unspecified,15.5,0.76,False,2009,True,15,851.87,True
Endeavor,3,5,90,12,9088,7.4,2.91,7233,Strategy Games,True,0.0,unspecified,unspecified,15.5,1.26,False,2009,True,15,482.2,True
In the Year of the Dragon,2,5,100,12,10791,7.35,3.1,9788,Strategy Games,True,0.0,unspecified,unspecified,15.5,1.1,False,2007,True,17,575.76,True
The Pillars of the Earth,2,4,120,12,16327,7.29,2.82,19942,Strategy Games,True,0.0,unspecified,unspecified,15.5,0.82,False,2006,True,18,1107.89,True
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,1,8,120,10,4138,7.78,2.16,12027,Thematic Games,True,0.0,unspecified,unspecified,15.5,0.34,False,2016,True,8,1503.38,True
For Sale,3,6,30,10,23898,7.22,1.26,28540,Family Games,True,0.0,unspecified,unspecified,15.5,0.84,False,1997,True,27,1057.04,True
Bruxelles 1893,2,5,125,13,4723,7.65,3.59,5615,Strategy Games,True,0.0,unspecified,unspecified,15.5,0.84,False,2013,True,11,510.45,True
Saint Petersburg,2,4,60,10,14545,7.3,2.47,11985,Strategy Games,True,0.0,unspecified,unspecified,15.5,1.21,False,2004,True,20,599.25,True
Claustrophobia,2,2,45,14,6650,7.52,2.48,9172,Thematic Games,True,0.0,unspecified,unspecified,15.5,0.73,False,2009,True,15,611.47,True
Blood Bowl: Team Manager - The Card Game,2,4,120,14,10336,7.38,2.33,13609,Thematic Games,True,0.0,unspecified,unspecified,15.5,0.76,False,2011,True,13,1046.85,True
